db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 1 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 2 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 3 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 4 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 5 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 6 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 7 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 8 5000
db7a2d17e9416b27e90c6da4472ab3bd509fb7662c554a24736f5c4a5bacf302 9 5000
4a45252851e6426d5b3d5659431579ffc4f59f719b7f66f9024a8773adaece39 2 5000.0
